estado,marcas,nome_da_revenda,pontas,price,manufacturer,group,ano,regiao
GO,TeeJet;,CASA DO PICA PAU,TTI,60,TEEJET,6,2022,Centro-Oeste
GO,TeeJet;Hypro;,JÚLIO GOMES,TXA,23,TEEJET,1,2022,Centro-Oeste
GO,TeeJet;Hypro;,JÚLIO GOMES,TT-VP,23,TEEJET,3,2022,Centro-Oeste
GO,TeeJet;Hypro;,JÚLIO GOMES,TTJ60,25,TEEJET,4,2022,Centro-Oeste
GO,TeeJet;Hypro;,JÚLIO GOMES,AIXR-VK,41,TEEJET,5,2022,Centro-Oeste
PR,TeeJet;,MA MÁQUINAS,TXA,23,TEEJET,1,2022,Sul
PR,TeeJet;,MA MÁQUINAS,XR-VK,23,TEEJET,2,2022,Sul
PR,TeeJet;,MA MÁQUINAS,TT-VP,23,TEEJET,3,2022,Sul
PR,TeeJet;,MA MÁQUINAS,TTJ60,24.01,TEEJET,4,2022,Sul
PR,TeeJet;,MA MÁQUINAS,AIXR-VK,36,TEEJET,5,2022,Sul
PR,TeeJet;,MA MÁQUINAS,TTI,49.5,TEEJET,6,2022,Sul
PR,TeeJet;,MA MÁQUINAS,TT-VP,22.01,TEEJET,3,2022,Sul
PR,TeeJet;,MA MÁQUINAS,TTI,46.5,TEEJET,6,2022,Sul
PR,TeeJet;,COCAMAR MÁQUINAS,TXA,22.01,TEEJET,1,2022,Sul
PR,TeeJet;,COCAMAR MÁQUINAS,TT-VP,20.01,TEEJET,3,2022,Sul
PR,TeeJet;,COCAMAR MÁQUINAS,AIXR-VK,33,TEEJET,5,2022,Sul
PR,TeeJet;,COCAMAR MÁQUINAS,TTI,45,TEEJET,6,2022,Sul
SC,TeeJet;,JB,TXA,16,TEEJET,1,2022,Sul
SC,TeeJet;,JB,XR-VK,16,TEEJET,2,2022,Sul
SC,TeeJet;,JB,TT-VP,16,TEEJET,3,2022,Sul
SC,TeeJet;,JB,TTJ60,18.01,TEEJET,4,2022,Sul
SC,TeeJet;,JB,AIXR-VK,34,TEEJET,5,2022,Sul
SC,TeeJet;,JB,TTI,49.5,TEEJET,6,2022,Sul
SC,TeeJet;,JB,BD,15,MAGNOJET,2,2022,Sul
SC,TeeJet;,JB,MAG,9,MAGNOJET,1,2022,Sul
SC,TeeJet;,JB,MGA,19,MAGNOJET,1,2022,Sul
